RANK_DOUBLON;CODE_COMMUNE;ID_BASE_EXTERNE;CODE_IDENTIFIANT_EXTERNE;NOM_COMMUNE;NOMENCL_INSEE;NOMENCL_DEPARTEMENT;NOMENCL_REGION_INSEE;CODE_PAYS;CODE_BASSIN;CODE_CANTON;CODE_POSTAL;PLUS_UTILISE
0;2060;;;GRISY SUISNES;77217;77;11;1;;1505;77166;0
0;2093;;;GRIVESNES;80390;80;32;1;;825;80250;0
0;1471;;;GROFFLIERS;62390;62;32;1;;1686;62600;0
0;3014;;;GROSLAY;95288;95;11;1;;1823;95410;0
0;366;;;GROUCHES LUCHUEL;80392;80;32;1;;1850;80600;0
0;3012;;;GRUCHET LE VALASSE;76329;76;28;1;;812;76210;0
0;1143;;;GRUGIES;2359;2;32;1;;830;2680;0
0;367;;;GRUMESNIL;76332;76;28;1;;1485;76440;0
0;368;;;GRUNY;80393;80;32;1;;941;80700;0
0;2777;;;GRUSON;59275;59;32;1;;781;59152;0
0;1298;;;GUARBECQUE;62391;62;32;1;;1624;62330;0
0;1449;;;GUEMAPPE;62392;62;32;1;;1882;62128;0
0;1948;;;GUERBIGNY;80395;80;32;1;;941;80500;0
0;2558;;;GUERLESQUIN;29067;29;53;1;;628;29650;0
0;369;;;GUERVILLE;78291;78;11;1;;1723;78930;0
0;2790;;;GUESNAIN;59276;59;32;1;;1073;59287;0
0;370;;;GUEUX;51282;51;44;1;;41;51390;0
0;1632;;;GUICHAINVILLE;27306;27;28;1;;1702;27930;0
0;2660;;;GUIGNECOURT;60290;60;32;1;;1129;60480;0
0;1127;;;GUIGNEMICOURT;80399;80;32;1;;563;80540;0
0;3105;;;GUIGNES;77222;77;11;1;;913;77390;0
0;371;;;GUIGNICOURT;2360;2;32;1;;172;2190;0
0;1186;;;GUILLAUCOURT;80400;80;32;1;;860;80170;0
0;2934;;;GUINES;62397;62;32;1;;500;62340;0
0;372;;;GUISCARD;60291;60;32;1;;1494;60640;0
0;373;;;GUISE;2361;2;32;1;;526;2120;0
0;374;;;GUNY;2363;2;32;1;;1033;2300;0
0;3433;;;GURY;60292;60;32;1;;;60310;0
0;375;;;GUYANCOURT;78297;78;11;1;;468;78280;0
0;3622;;;GUYENCOURT SAULCOURT;80404;80;32;1;;;80240;0
0;3284;;;GUYENCOURT SUR NOYE;80403;80;32;1;;825;80250;0
0;3481;;;HABARCQ;62399;62;32;1;;;62123;0
0;1048;;;HAGONDANGE;57283;57;44;1;;675;57300;0
